"['😘', '😍', '😘']",1786
"['🤬', '🤬', '👇', '👇', '🇺🇸', '🇺🇸']",1792
['🙏🏻'],1801
['😂'],1802
"['😁', '🤍', '💙', '🦅']",1811
"['⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️', '⬇️']",1814
"['🌹', '☕', '🤙']",1817
"['💪', '💪', '👍']",1821
"['🙏🏻', '❤️']",1835
['💘'],1842
"['❤️', '❤️', '❤️', '❤️', '❤️']",1846
['♥️'],1849
['😂'],1850
['🇵🇱'],1853
"['💩', '💩', '🤬']",1860
['🤷'],1862
['😂'],1884
['😃'],1885
"['😂', '😂', '😂', '😂']",1886
"['🤣', '🤣', '🤣']",1891
['💋'],1896
"['😍', '😍', '😍', '🎉', '✈️', '😍']",1897
"['😭', '💔']",1900
"['😍', '😍', '😍', '😍']",1914
['💔'],1919
['😊'],1922
"['😴', '🤗']",1929
"['👉🏻', '👉🏻']",1930
['💖'],1932
"['💐', '🎂', '🥂', '🍾', '🧿', '🍀', '🧿', '🍀', '🧿']",1946
['♥️'],1947
"['😻', '😻', '😻']",1951
['😬'],1968
"['🤗', '🙈', '🙈', '🙈', '🙏', '🙏', '💪', '💪', '💪']",1973
"['🥺', '🥺', '🥺']",1975
['🧡'],1980
['😂'],1987
['🤪'],1990
"['🖤', '💙']",1995
"['🌺', '💪', '🌺', '💪']",2000
['😂'],2004
"['🙏', '🕊', '🤗', '❤️', '😘', '😘', '😘', '👋', '👋', '👋']",2009
"['☮️', '🎼', '🙂', '🇮🇹']",2019
['🌹'],2020
['❤️'],2021
"['💩', '😂']",2023
['🤔'],2027
"['😂', '😂', '😂', '😂', '😂', '😂', '😂']",2032
"['🤣', '🤣', '🤣', '🤣', '🌙']",2040
['😡'],2044
['😖'],2048
['☺️'],2051
['😉'],2056
"['😭', '🤍']",2061
"['❤', '❤', '❤', '❤', '❤', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏']",2063
['🤬'],2070
"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '😂']",2081
"['🆘', '🆘', '🆘', '🆘', '🆘', '☎', '🤬', '🤬', '😭', '🙏', '😔', '🏡']",2083
"['😩', '😩', '😩']",2089
['💙'],2093
"['🤣', '🤣', '🤣', '💩', '💩', '💩']",2094
"['💪', '💪', '💪']",2097
['😏'],2105
['🤗'],2108
['📧'],2113
"['😂', '😂']",2122
['👉'],2125
['😀'],2128
"['❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '❤️', '🤗', '🤗', '🤗', '🤗', '🤗', '🤗', '🤗', '🤗']",2133
"['🤔', '🤔']",2142
['🤣'],2145
"['👍', '👏', '✋', '🌹']",2147
"['😂', '😂', '😂', '😂', '😂', '😂', '😂']",2148
"['😆', '😆']",2149
"['🙏', '🙏', '🙏', '🥳', '🥳', '🥳']",2161
['👍'],2164
"['🤔', '🤔', '😂', '😂', '🤣', '🤣']",2165
"['🇮🇹', '🇵🇹']",2168
['😅'],2174
"['🇷🇸', '⚪', '⚫']",2182
"['🌹', '🌺', '🍀', '🥰', '🌺', '🍀', '☀️', '☀️', '☀️', '☀️', '☀️', '☀️', '☀️', '☀️', '☀️']",2184
"['🤣', '🤣']",2188
"['🆘', '🐾', '🐾', '🆘', '😉', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '❤', '❤', '❤', '❤', '❤', '🐾', '🐾', '🐾', '🐾', '🐾', '🍀', '🍀', '🍀', '🍀', '🍀', '🍀']",2193
['👇'],2195
['💩'],2196
['⬇️'],2200
"['❤️', '🙏🏼']",2207
"['😂', '😂', '😂', '😂', '😂']",2208
"['😂', '🧢']",2215
['💀'],2219
"['🙏', '❤', '😔']",2221
['💪🏻'],2223
"['🙏', '🍀']",2238
"['💪', '🔴']",2245
['🤍'],2248
"['🌻', '🌻', '🌻']",2250
['❤'],2252
"['😂', '😂', '😂']",2253
['😂'],2256
['🙄'],2261
['❤️'],2264
"['🇵🇱', '⚪', '⚫']",2277
"['🇮🇹', '🇭🇷', '🇳🇱', '🇪🇸']",2281
"['🇺🇦', '🇺🇦', '🇷🇺', '🗓️', '🕐', '📍']",2286
"['😢', '💀', '💀', '💀']",2292
"['💩', '🤣']",2297
['😊'],2299
"['🎩', '🌹']",2308
['😊'],2311
['😂'],2316
"['✨', '🔴', '⚫']",2317
['❤️'],2321
['👇'],2326
['📚'],2335
['💙'],2341
"['‼️', '😡', '😡', '😡']",2343
['🤷'],2344
['🥰'],2350
['😊'],2352
"['😂', '😂', '😂']",2358
"['☯️', '🎋']",2362
['😒'],2370
['😊'],2377
['😂'],2385
"['😭', '😭', '😭']",2391
"['😁', '🙏']",2398
"['🔴', '🔴', '🔴', '👇🏻', '👇🏻', '👇🏻']",2400
['🔥'],2405
"['😂', '👏']",2413
['😭'],2421
['❤️'],2425
['📻'],2451
"['😄', '😄', '😂', '😂', '😂']",2460
['🌙'],2467
"['🌹', '❤️', '🌹']",2469
['😉'],2470
"['🤡', '🤡', '🤡', '🤡', '🤡', '🤡']",2480
"['💙', '💋']",2485
"['🤍', '💫']",2496
"['😂', '😂', '😂']",2500
"['😂', '😂', '😂', '😂', '🇮🇹', '🇮🇹']",2506
['♥️'],2510
"['😂', '😂', '😂', '😂']",2512
['🤣'],2529
['😱'],2550
"['😡', '👇']",2551
['✝️'],2560
['🫶🏻'],2562
['🦠'],2564
"['🤣', '🤣', '🤣', '❤️', '❤️']",2567
"['🤣', '🤣', '🤣']",2570
"['😁', '😁', '😁']",2578
"['🔥', '🔥', '🔥', '🔥', '🔥', '🏆', '🏆', '🏆', '🏆']",2589
"['❤️', '💔', '🙏', '🆘']",2599
['📌'],2603
"['💛', '❤️']",2610
"['🤣', '🤣', '🤣']",2611
['🙋\u200d♂️'],2621
"['❤️', '🇺🇦']",2622
"['🗓️', '📍', '☁️', '✏️']",2627
['🤭'],2637
['🤗'],2644
"['🥵', '🫣']",2655
['😯'],2656
"['🧡', '🐕']",2660
"['😘', '🥰']",2661
"['👍', '♥️']",2662
"['😍', '🥰']",2667
"['❤️', '🥺']",2672
['🥰'],2675
"['💰', '😂']",2676
['🧵'],2682
"['😩', '😩', '😩']",2685
"['😍', '😍', '😍']",2689
['🌷'],2697
"['🤣', '🤣', '🤣']",2698
['😏'],2708
['👍'],2712
"['🏆', '🏀', '🇮🇹']",2717
"['😊', '😊']",2722
"['💙', '💛']",2725
"['🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🤢', '🤢', '🤢']",2727
"['🇺🇦', '🇮🇹']",2734
['🤬'],2738
['😇'],2743
"['😜', '😜', '😜']",2747
['🇮🇱'],2748
"['🤷\u200d♂️', '🤦\u200d♂️']",2751
['😌'],2762
"['😂', '😂', '😂']",2770
['😂'],2800
['❤️'],2803
"['🤷\u200d♀️', '😂']",2805
"['💐', '💐', '💐', '💐']",2808
['💜'],2814
['🔸'],2827
"['🐶', '🐶', '❤️']",2828
"['🤣', '🤣', '🤣']",2829
['🤙🏻'],2838
"['👏', '👏', '👏']",2842
['😀'],2845
"['🤣', '🤣']",2847
['🤔'],2849
"['👿', '👿', '👿', '👿']",2851
['😜'],2861
['⤵️'],2863
['🤦'],2864
['😘'],2876
['😅'],2878
['☢️'],2881
"['🇮🇹', '🇮🇹', '🇮🇹']",2887
"['💖', '🇮🇹', '💖', '💞', '💞', '💞', '💞', '👍']",2889
"['💪🏻', '💪🏻', '💪🏻', '👍🏻', '🍀', '🧿', '🍀', '🧿', '🍀', '🧿', '🍀']",2894
['😟'],2898
['😉'],2904
['😭'],2905
"['😂', '😂', '😂', '😂', '😂', '😂', '🤡', '🤡']",2908
"['😎', '✌️']",2911
['🌄'],2920
['🤷🏽\u200d♂️'],2938
['😒'],2941
"['🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",2946
['🥺'],2952
"['⏹', '✨', '🤩']",2953
['👎'],2961
['😔'],2979
