"['🤜', '🤛', '❤️']",1388
"['🧐', '💡', '🎨', '👩🏽\u200d🎨']",1390
"['🫶', '🫶']",1396
"['☔', '📞']",1397
['🚙'],1406
"['😌', '❤️']",1407
['❤️'],1410
['🇷🇺'],1411
"['🐋', '🤔']",1414
['😑'],1415
['🤍'],1416
"['😢', '🙏🏽', '❤️']",1429
"['❤️', '🥹', '💞', '🥁', '🍭', '💃', '🥰']",1430
"['⭐', '🔆']",1431
['🙏🏽'],1441
"['🤣', '💕', '💕', '✨']",1446
"['😑', '😑', '😑']",1456
"['😱', '☄️', '👌', '🔵', '🦁']",1464
['🤍'],1467
['‼️'],1471
['😇'],1472
['🎥'],1487
['🌎'],1490
"['‼️', '🤽\u200d♂️', '✨']",1498
"['🔷', '🔶', '✅', '❌', '❌', '❌', '❌', '❌']",1500
['😴'],1512
['🙌'],1513
['😁'],1519
['👋'],1522
['🌈'],1525
"['🇧🇷', '🇧🇷', '🙏', '👏', '👏']",1526
['☺️'],1527
"['🥺', '🥰']",1533
['📣'],1541
"['💖', '💖', '💖', '💖', '💖']",1542
['❤️'],1548
['❤️'],1573
"['🙇\u200d♀️', '🔮', '🤲']",1584
"['🚁', '💻', '👊🏼', '🌴', '🔥']",1589
"['❤️', '🍎', '🍊', '🍏', '🍐', '🍌']",1597
['😞'],1601
"['🍀', '✌🏻']",1614
"['✨', '🧁', '🍪', '✨', '💭', '💭', '💭']",1615
['💚'],1616
['🤗'],1619
['👍🏼'],1625
['👀'],1633
"['🎖', '💉']",1635
['⬇️'],1637
"['☘', '✨', '✨', '😊']",1639
"['😍', '❤', '🌹']",1644
['😢'],1647
['🌹'],1650
"['😢', '🙏🏻']",1652
"['😭', '😭', '😭']",1653
"['👻', '🎃']",1659
"['😭', '🌸']",1666
"['💦', '🙇']",1668
['💡'],1671
['😰'],1674
['😉'],1675
['😁'],1678
['💖'],1679
"['❗', '㊗️', '😊']",1680
"['😥', '💪']",1683
"['💯', '🔥']",1685
['❤'],1691
['😮\u200d💨'],1695
['🧡'],1696
"['📌', '🔗', '🔗', '🚀', '‼️', '💂\u200d♂️']",1699
['✅'],1704
"['👀', '🤘']",1709
['😂'],1710
"['🎉', '🐒', '😉']",1718
"['💓', '💘']",1719
"['✅', '✅', '✅', '✅', '✅', '✅', '✅', '✅']",1721
"['😂', '😂', '😂', '✨', '✨', '👏', '✨', '✨']",1725
['😂'],1732
['👀'],1739
"['😬', '😉', '👍']",1747
"['🤲', '🇹🇷']",1750
['😎'],1751
"['💦', '😅']",1752
['🏫'],1759
"['❤️', '🔗']",1760
"['⚽', '😎', '💫']",1761
['🪂'],1765
['✨'],1769
"['↔', '↔']",1779
['🌶'],1789
"['😂', '✨', '✨']",1804
"['🗽', '📷', '⛷', '⛷', '⛷']",1805
"['😱', '😱', '😱', '😱', '😱', '😱']",1815
['😂'],1830
['🫶'],1832
"['👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👑', '👻', '👑']",1833
['😊'],1834
['🤣'],1838
"['🌸', '🌸', '✉']",1839
['🤡'],1840
['🧡'],1848
"['😁', '👍', '✨']",1852
['❤️'],1859
['😜'],1860
['😢'],1862
"['🐶', '👍', '😃', '👏', '👏']",1880
"['😂', '😂', '😂', '😂', '😂']",1883
"['😉', '🎅', '👻']",1886
['🤦🏻\u200d♂️'],1902
"['🤓', '☺️']",1905
['🙂'],1906
"['😨', '👋']",1907
"['🇮🇪', '❤️', '☘️']",1910
"['🤾🏽\u200d♂️', '🤾🏽\u200d♀️']",1911
['👉'],1912
['😂'],1914
['🤣'],1917
"['✨', '😊']",1919
['🥛'],1922
"['❤️', '🌯', '🙌']",1926
['👀'],1927
['🙏'],1931
"['🌈', '☃️', '🐬', '🍎', '🗼', '🏯', '🎡', '⛩️']",1932
"['😍', '😍', '😍', '😍']",1935
"['👇', '🚨', '🔊']",1937
['㊗️'],1940
"['🤣', '😂', '😭']",1943
"['🛌', '📖', '💅🏻', '👟', '👙', '🧳', '📺']",1947
['😍'],1961
['🥳'],1962
['💥'],1963
['👀'],1969
"['📸', '❄️']",1970
"['🙏', '❤️', '💐', '😘']",1973
"['👋', '☕', '✊']",1977
"['🔄', '⬅️', '➡️', '🆚', '💜']",1983
['😂'],1984
"['🙌🏻', '🙌🏻']",1985
['✨'],1989
"['🌙', '🙏']",1990
"['🎂', '🎂', '💓', '👏🏻', '✨', '❤️']",1991
"['🙏', '🙏', '🙏']",1998
"['👀', '🌈', '🌈', '🙏']",2001
"['🍃', '💚']",2011
"['🤟🏻', '☺️', '✊🏻']",2012
"['🙇\u200d♀️', '😢', '😭']",2016
['🎄'],2026
"['⬇️', '⬇️']",2029
"['✅', '🧱']",2048
['😂'],2055
['🇨🇵'],2064
['👠'],2070
['🇻🇦'],2072
['💙'],2076
['☀️'],2083
"['😺', '😺']",2087
['🌕'],2089
"['⚠️', '👕', '😍', '💕']",2090
"['💖', '💖']",2092
"['⚡', '🤘']",2109
"['💓', '🦖', '💗']",2112
"['🎄', '☃️']",2118
"['⬆️', '⬇️']",2120
"['🎨', '✨']",2124
['🤦🏾\u200d♀️'],2125
"['🌐', '📞']",2128
['‼'],2129
['☔'],2130
['💧'],2131
"['🦁', '✨']",2135
"['☃', '⛄']",2137
"['👏', '👏']",2140
['👀'],2146
['😌'],2148
"['📡', '⚡', '☀', '🇯🇵', '🇦🇺', '🇦🇺', '📺']",2150
"['😂', '🦖']",2163
['💵'],2166
"['📣', '❗', '📺', '⚾', '☝', '⁉', '💘', '🤭', '⚔️']",2174
['🔥'],2176
['🙈'],2180
['🧐'],2181
['😊'],2183
"['💰', '💰', '🤝']",2184
['✅'],2188
['🧐'],2189
['😍'],2192
"['🗓', '🎃', '🐼', '🏆', '🦇', '👉']",2193
['👀'],2209
"['🥰', '❤️\u200d🔥']",2210
['👇'],2213
['😱'],2222
